"","mean","sd","5.5%","94.5%","rhat","ess_bulk"
"bPTl",-0.011067560825159,0.0375144445039107,-0.07026210866,0.04845415472,1.00098068334351,1740.1061469833
"bPTp",-1.07553195623,0.171433934574776,-1.368455823,-0.82158752535,1.00086301706972,1041.35415555429
"al",-1.13818842576,0.0968837460717667,-1.2892884475,-0.9893548832,1.0070184406098,638.207671631448
"ap",1.0742696073205,0.233781846234116,0.69359540655,1.4326279355,1.00132799731772,491.315976216412
"sigma_id[1]",0.81968649687,0.204184261080895,0.54843824225,1.1884261045,1.00109860988633,570.436623022687
"sigma_id[2]",0.43838385826,0.151615300752076,0.21887631125,0.6981659827,1.00472277946404,1052.10105755799
"sigma_id[3]",0.299641166855,0.0934485076842111,0.1885860143,0.45536210475,1.0033912304937,716.825313336122
"sigma_id[4]",0.047946819559588,0.03803606012447,0.0034242365755,0.11596925075,1.00094888740444,684.70119161927
