"","mean","sd","5.5%","94.5%"
"al",1.857121752095,0.14534618644039,1.6853399345,1.988113458
"bNl",-0.4102290237675,0.0471996001333874,-0.485780271,-0.33619146965
"bNp",0.9002478429525,0.168701255208736,0.63722911925,1.1728661505
"ap",-1.63312009927925,0.419955061113591,-2.2028681035,-0.8853203824
"scale",1.829829332125,0.0584010917356002,1.7376738425,1.9244142925
"sigma_id[1]",0.3598835874855,0.113287969312891,0.1994960434,0.5530742291
"sigma_id[2]",0.10546752912775,0.0268140982520341,0.069873803665,0.1533368118
"sigma_id[3]",0.265715188333368,0.190775687937113,0.022292114295,0.6032926261
"sigma_id[4]",0.080119214893196,0.0554738469384473,0.0083843184295,0.1786449879
"z_gp[1]",-0.161727547125052,0.64982551725806,-1.186843214,0.8734065521
"z_gp[2]",-0.274166236407295,0.693891068652886,-1.3790898775,0.83049055335
"z_gp[3]",-0.478922445303738,0.693818556057551,-1.608772026,0.62015750275
"z_gp[4]",0.268307474159684,0.663394273665444,-0.8213017681,1.2830827215
"z_gp[5]",-1.58163885346745,0.746707531651611,-2.776677139,-0.39288010045
"z_gp[6]",0.072465053929175,0.95712620229944,-1.456457087,1.584291261
"z_gp[7]",-0.864103123543007,0.654345997744412,-1.8880320375,0.18433108315
"z_gp[8]",-0.826411084434325,0.707676384235132,-1.89957853,0.35881085835
"z_gp[9]",0.20201010903071,0.900966697236396,-1.207151713,1.6697540135
"z_gp[10]",-0.0872779113221382,0.993556042346234,-1.6756243245,1.5128331145
"z_gp[11]",0.101210594090216,0.770882140176423,-1.1238390155,1.3272445965
"z_gp[12]",-0.60382153581759,0.748072758527741,-1.7502472605,0.602162989750001
"z_gp[13]",0.889567739196783,0.789312413943601,-0.3540720368,2.1558216325
"z_gp[14]",-0.350436840970997,0.95539620500735,-1.8696021315,1.1746492685
"z_gp[15]",0.444131260145195,1.01549932137321,-1.167210036,2.0722171935
"z_gp[16]",0.410781572049493,0.771179221557929,-0.83639587105,1.632306502
"z_gp[17]",-0.215598462125865,0.734193859716878,-1.357614621,1.002580823
"z_gp[18]",0.738294278334813,0.786847241298634,-0.47414994105,2.036665109
"z_gp[19]",-0.33985933133533,0.861332241836365,-1.66187035,1.034769283
"z_gp[20]",0.09316483985698,0.766400130398044,-1.140448845,1.2935846215
"z_gp[21]",0.734833897319225,0.725775019304164,-0.4251379362,1.903158253
"z_gp[22]",1.42357689942652,0.900296613106146,-0.00576678640750002,2.851822988
"z_gp[23]",-0.538344647183855,0.789989473440223,-1.8115882495,0.715760617900001
"z_gp[24]",-0.07089479036822,0.745848685531815,-1.2538673435,1.1470620345
"z_gp[25]",0.73372786347827,0.763380384982956,-0.53817270475,1.9066192775
"z_gp[26]",0.6400737730904,0.953622220632043,-0.8721841233,2.1761001475
"z_gp[27]",-0.340334048113663,0.770521043419934,-1.5746997965,0.917063672050001
"z_gp[28]",0.06721595155068,0.719996216384132,-1.0815474655,1.2043933555
"z_gp[29]",0.721393178001713,0.858283445006223,-0.71268219525,2.0484220635
