"","mean","sd","5.5%","94.5%","rhat","ess_bulk"
"ap",1.1243419744325,0.211292628572978,0.79475426155,1.460899333,1.00661778158937,712.43744873944
"bSp",-0.229901969218668,0.133818450115164,-0.45202783265,-0.02621132245,1.00317493297252,1581.49559143413
"al",-1.119785842745,0.0810303112961679,-1.2499109255,-0.99331401505,1.00010123125269,2315.94696854344
"bSl",-0.0092373534640482,0.0684984949804092,-0.1159277247,0.0997374175850001,1.00086454543733,2230.6970146142
"sigma_id[1]",0.70846053681,0.182968719178347,0.46255595855,1.033086635,1.00218919344645,1341.54549311263
"sigma_id[2]",0.4217556541025,0.125136506684689,0.2507524658,0.641249956700001,1.00120471089024,1340.80921812166
"sigma_id[3]",0.24028045312566,0.0917103567964004,0.1068350938,0.3894275461,1.00553757430028,557.897955181359
"sigma_id[4]",0.182719648937925,0.0748513344814407,0.07644743839,0.30582050625,1.00197452911597,795.595279561699
"s_bar",2.640757869225,0.298237535995909,2.1352714755,3.088266397,1.01553315901759,303.545821667126
"etasq",1.467350838695,0.367594623935189,0.9743017526,2.1100460225,1.00273426382111,575.437103163736
"rhosq",0.914178729195,0.403786910187282,0.58636760745,1.43934625,1.01103910847482,412.21176269439
"z[1]",-1.7975485843975,0.469952846035629,-2.5707585465,-1.083310282,1.00204809781857,641.642936501135
"z[2]",-1.55477335919287,0.515456650737634,-2.4120236715,-0.763755818149999,1.00257848807796,820.637781132115
"z[3]",-0.9481067103594,0.387306426668819,-1.590945562,-0.34826099895,1.00719062345715,473.729476235753
"z[4]",0.441902854178145,0.394599525157095,-0.22268575335,1.0293160145,1.0112287207573,522.58224851938
"z[5]",0.509450844827747,0.32201650069023,-0.013297123165,1.0208166315,1.01174019085214,583.227090986428
"z[6]",1.15968325194,0.233008668501982,0.7950041291,1.546909222,1.02077445459765,373.287713149561
"z[7]",0.72093196412995,0.25520062354323,0.30646273915,1.1267788005,1.01223647358195,453.87143670493
"z[8]",0.9453417747725,0.214170400412431,0.60677252885,1.276923289,1.0096935610387,576.266112453138
"z[9]",-0.35707561293833,0.286626825531714,-0.8363535409,0.0652065868200001,1.00336667358913,671.291964460143
"z[10]",0.992286345075,0.180585313002671,0.7090561618,1.28822597,1.01267798128981,535.241530751488
"z[11]",-0.371486773399588,0.280246691874908,-0.8184174871,0.0714804009400004,1.00788663360968,427.32747259794
"z[12]",-0.86995519923025,0.270354983232473,-1.3097504045,-0.4465612111,1.00043940201097,788.24467334388
"z[13]",3.07909092005,0.376170537362316,2.489765006,3.6876258725,1.01702617862307,443.310085455562
"z[14]",-1.4451829087425,0.352196500186764,-2.029654048,-0.8980626324,0.999627016402124,1320.57475990066
"z[15]",0.157119196490042,0.21999860840092,-0.19561474065,0.5030903856,1.00435402900927,468.452601378748
"z[16]",1.4741680255275,0.251097263505045,1.090834878,1.8882156555,1.02000960954489,402.754678031204
"z[17]",0.46377458721495,0.191443786698135,0.16620906475,0.7773727679,1.00918689293808,660.258655196884
"z[18]",-0.0388127202692275,0.424702336999573,-0.7386571217,0.6128972093,1.00520792526135,495.552405692443
"z[19]",0.9553835707985,0.256460488674303,0.54735002415,1.3595781915,1.00539282819165,477.424797323296
"z[20]",-0.21363783330511,0.240571633945307,-0.5982350419,0.1596273117,1.00324988165218,592.697456914032
"z[21]",0.328547558555701,0.278521709807124,-0.08900042328,0.80449558205,1.01398478006232,401.379925055108
"z[22]",0.91044028056,0.204842168398136,0.587562982,1.242499391,1.01672355404524,390.198234269678
"z[23]",0.297518645086207,0.199740648299288,-0.017688893515,0.61226894085,1.00748913624222,434.603372700743
"z[24]",-0.26113339680102,0.216157107208453,-0.6248536699,0.0820035398850001,1.00394081222502,797.308167063078
"z[25]",-0.8012052470025,0.291498586300604,-1.2824542805,-0.35332120975,1.0002406220122,1123.2596042424
"z[26]",-0.0424214269226625,0.220510103754762,-0.3999544042,0.30815010685,1.00555144301049,722.556976097182
"z[27]",1.500039813215,0.230951959331827,1.143529275,1.873380271,1.02115333635106,375.528117343053
"z[28]",-0.80997874281425,0.263515029532726,-1.24724514,-0.4047146213,1.0018314184338,787.269446677041
"z[29]",-1.23131866493408,0.477360217758374,-1.994383985,-0.482261585699999,1.00386862069015,894.606582720183
"z[30]",0.17693084210279,0.246776533595443,-0.22694527705,0.5740511738,1.00287759043337,471.914202324686
"z[31]",1.047711153845,0.251642673563206,0.6590717385,1.466203218,1.01907207713978,408.169619057643
"z[32]",-0.886340313707775,0.350434214539696,-1.4902066305,-0.35886740555,0.999992213691602,1095.33621381504
"z[33]",-0.45292275834035,0.267813731133309,-0.89491052085,-0.0301903859899999,1.00457173678318,524.087709135563
"z[34]",0.172267899946793,0.2074182264983,-0.17162105615,0.4868488293,1.00366264081164,674.729422257714
"z[35]",-0.835614837446375,0.328510762026397,-1.3631590185,-0.32664024475,1.00291280515082,1021.60487082914
"z[36]",0.8918813246655,0.327752287923429,0.37380125925,1.4332218635,1.01740079713905,384.724296931572
"z[37]",0.09461304192087,0.303293892615975,-0.3712493095,0.59059623745,1.00933759616471,492.008596076695
"z[38]",1.998137417025,0.251248351590699,1.6112039625,2.401229349,1.01398292456508,518.162455298749
"z[39]",0.240002551872534,0.224826160615599,-0.1168131812,0.604686688,1.01039824716215,451.308593761724
"z[40]",-0.208891646858413,0.296577823498985,-0.677160884,0.26366106205,1.00378568678569,566.953298274866
"s_grid[1]",-2.1338321213475,0.485229965222339,-2.922538874,-1.3900320795,1.00499226937637,767.613565731239
"s_grid[2]",-2.467939470145,0.517408150977184,-3.3343439125,-1.6768072465,1.00327194064006,895.177064300177
"s_grid[3]",-1.30536175423887,0.400732250424572,-1.925896417,-0.657151789249999,1.00988963779793,500.624114022028
