"","mean","sd","5.5%","94.5%"
"al",1.914447353375,0.0269002820110777,1.87217394,1.95746618
"bNxSl",0.0155561947202753,0.0355117627399719,-0.03931809855,0.070666666595
"bNxSp",0.0435362180618883,0.142175280528654,-0.18915335295,0.2648501195
"bSl",-0.0179214582647567,0.0279374056300332,-0.0641733799,0.0250023607500001
"bSp",0.0594761006938088,0.15697324790579,-0.17281693525,0.32137539605
"bNl",-0.5135210996925,0.0285723642363642,-0.56026574845,-0.4699846999
"bNp",1.4644179521575,0.114936804748589,1.2793164385,1.6464921235
"ap",-2.0156904105,0.118067068602625,-2.197526611,-1.824578965
"scale",2.011094981525,0.0264438620456236,1.9685820435,2.054743455
"sigma_id[1]",0.441149484545,0.0887199615850812,0.3231481425,0.5962720527
"sigma_id[2]",0.104709122483,0.0217422490921234,0.07599459912,0.1429515704
"sigma_id[3]",0.396360120185,0.0945831662794897,0.26793080335,0.5591944248
"sigma_id[4]",0.085673133564,0.028145464036148,0.04732601629,0.13548881855
"sigma_id[5]",0.575835713475,0.152327606881515,0.3755369121,0.84428595445
"sigma_id[6]",0.10190966375375,0.0289766499928578,0.06451354792,0.1533486391
"sigma_id[7]",0.45023219362575,0.137379248750606,0.25882300595,0.68452533945
"sigma_id[8]",0.090065026125035,0.0368299763547576,0.03938669983,0.1540164396
"s_bar",2.775463376225,0.246865011444406,2.370643694,3.162253441
"etasq_s",1.85702474359,0.415895345793595,1.266434426,2.581127824
"rhosq_s",0.865758618815,0.0843140050005752,0.74320554295,1.0058655085
"z_s[1]",-1.9223486729675,0.390477036853604,-2.5837028345,-1.339153319
"z_s[2]",-1.2035143395075,0.33274785178356,-1.7563947735,-0.69488665645
"z_s[3]",-1.17702277898,0.281299338786489,-1.6335310735,-0.74257271355
"z_s[4]",0.80975047889,0.209455508326237,0.4814354266,1.151857743
"z_s[5]",-0.107814907609592,0.194754586414934,-0.4262937925,0.2008580432
"z_s[6]",1.111486712505,0.198312053951852,0.8074667406,1.44109508
"z_s[7]",0.696223860666,0.183236056166028,0.41952482165,0.99716521695
"z_s[8]",0.56649153630475,0.148429601194727,0.3329977797,0.8068061756
"z_s[9]",-0.0293537638878935,0.169791181601133,-0.30126585415,0.242181918
"z_s[10]",0.712497612455,0.148676281927432,0.48459558885,0.95437242125
"z_s[11]",-0.4998771335594,0.221994765213267,-0.84989943685,-0.1494939729
"z_s[12]",-0.85624648886,0.200290161773331,-1.182696624,-0.55283295005
"z_s[13]",2.70329213155,0.311742743550098,2.228232235,3.21961534
"z_s[14]",-1.1903007761075,0.290414100523446,-1.6761344575,-0.7568447274
"z_s[15]",0.0753189253721658,0.16959706856814,-0.19290869615,0.3419449714
"z_s[16]",1.2717801988625,0.207596975454587,0.95433965615,1.6124944715
"z_s[17]",0.317118309051233,0.140176825195645,0.09903468301,0.548081146
"z_s[18]",0.0460913859802835,0.17274032389545,-0.23634511235,0.31592514105
"z_s[19]",0.782111071485,0.175692875573572,0.5043054089,1.065154233
"z_s[20]",-0.277240794788724,0.146616660356215,-0.5209260476,-0.0487108382
"z_s[21]",0.0639191357817775,0.178791673655584,-0.2184232517,0.35121670575
"z_s[22]",0.76271005241,0.175510657411433,0.48970403475,1.0502982865
