"","mean","sd","5.5%","94.5%","rhat","ess_bulk"
"al",-1.108510116715,0.088608387409191,-1.247026502,-0.9716610067,1.00134559922871,1447.65844908338
"ap",1.068207884845,0.198800603983284,0.74680944625,1.3791448775,1.00201290753009,846.684954362247
"sigma_id[1]",0.73719936472,0.17797512405795,0.4984042666,1.043528766,1.00413590993892,1058.23686189152
"sigma_id[2]",0.29244352476175,0.0834724330078918,0.1818644873,0.4360365419,1.00214754365228,1509.30603127591
