"","mean","sd","5.5%","94.5%"
"bNl",-0.50894175053,0.026966632415795,-0.55275007245,-0.46752892295
"bNp",1.397740141985,0.112763860601199,1.21998716,1.5785891115
"ap",-1.932792943925,0.129999489843376,-2.131635425,-1.7253472695
"al",1.914374409,0.0260911327528121,1.872686148,1.955288456
"scale",2.034615011075,0.0279518758571537,1.989965132,2.0794045725
"sigma_id[1]",0.49593380283,0.100153570289614,0.36425116495,0.6701213557
"sigma_id[2]",0.1013045471995,0.020295764523177,0.074702908145,0.13745019625
"sigma_id[3]",0.386508872015,0.0914981832224229,0.2634145481,0.54207158685
"sigma_id[4]",0.080703478568225,0.0257837921916998,0.045780055335,0.1258966732
